300
('O', (5, 2), (4, 2)), 284.99943418899784
('X', (3, 5), (3, 4)), 297.9995369190001
('X', (4, 5), (4, 4)), 270.74911758099915
('O', (5, 3), (4, 3)), 295.9992577880039
('X', (0, 5), (0, 4)), 257.21117331200367
('O', (5, 4), (5, 3)), 293.9988668279984
('X', (3, 5), (2, 5)), 244.350148618003
('X', (5, 5), (4, 5)), 291.99831190799887
('O', (2, 4), (2, 3)), 232.13102636300755
('O', (1, 4), (1, 5)), 289.95297881299484
('O', (1, 3), (1, 2)), 219.65223082500597
('O', (0, 3), (1, 3)), 287.9527698299935
('O', (0, 2), (0, 3)), 207.15229995900881
('O', (0, 1), (0, 2)), 285.95232358899375
('O', (1, 1), (2, 1)), 196.79444611901272
('O', (1, 0), (2, 0)), 283.9519856959887
('X', (5, 4), (5, 5)), 186.95445662001293
('X', (5, 2), (5, 1)), 281.9518320379866
('X', (5, 4), (3, 5)), 177.60628281201207
