300
('X', (3, 5), (3, 4)), 297.99953692800045
('O', (2, 4), (2, 5)), 291.17600133700034
('O', (1, 4), (2, 4)), 295.9992588909954
('X', (4, 5), (4, 4)), 282.35204690599494
('O', (0, 4), (1, 4)), 293.9990883769933
('O', (0, 5), (0, 4)), 273.5282306320005
('X', (5, 5), (4, 5)), 291.99867780299246
('X', (5, 1), (4, 1)), 264.7044586260017
('X', (5, 3), (5, 4)), 289.9983561179979
('X', (1, 3), (0, 3)), 255.88054083599854
('X', (1, 2), (0, 2)), 287.9685362520031
('X', (1, 0), (1, 1)), 247.05664795599296
('X', (0, 0), (1, 0)), 285.96813581500464
('O', (1, 5), (0, 5)), 238.2327194229947
('O', (3, 5), (1, 2)), 283.96784795100393
('O', (1, 5), (4, 2)), 229.40876582999772
('O', (3, 5), (4, 3)), 281.96748100800323
('O', (5, 5), (3, 5)), 220.584870476996
('O', (1, 5), (5, 5)), 279.96728297499794
('X', (0, 1), (0, 0)), 211.76088380499277
('X', (2, 1), (2, 2)), 277.96696781199716
('X', (3, 1), (3, 2)), 202.93569061199378
('X', (3, 0), (4, 0)), 275.9666074399938
('O', (1, 3), (2, 3)), 194.11188568398939
('O', (3, 3), (1, 5)), 273.96625656399556
